gene p.value alpha alpha_low alpha_high p.adj
fpg 0.812564526241234 7.524654872225701 0.03701906793704039 106.3093813443951 0.8651576994607313
fprA 0.05423134629673439 31.45783418575853 0.9301976576230344 106.36585713575931 0.8487497109982873
fprD 0.008085254478480106 100.79681720821894 1.173648007595476 106.36845000454954 0.8487497109982873
frcA 0.007897225467683398 66.25339000489822 0.03703517807234461 106.37231328284852 0.8487497109982873
frcB 0.007897225467683398 103.90609073635346 1.9024196784717582 106.38287208889409 0.8487497109982873
fruA 0.3000770067607749 105.07091809528242 3.9836460559492997 106.3643205594534 0.8487497109982873
fruK 0.04820979742734801 104.11494988790946 2.371752997770672 106.37293816757878 0.8487497109982873
ftsE 0.6939069199030916 0.4802582080032617 0.036316597416397756 106.36977956543188 0.8487497109982873
ftsH 0.8153523046784591 105.53809459552997 8.68051826550604 106.33678264585672 0.867700448137035
ftsI 0.45441651328819294 94.22020746400119 3.160789618580165 106.37990689210135 0.8487497109982873
ftsQ 0.08474900795358975 102.9179434386667 0.03614032000228144 106.366180364038 0.8487497109982873
ftsW 0.23792836698468398 105.86493675207166 9.136458872081242 106.38822555849438 0.8487497109982873
ftsX 0.6939069199030916 0.5974125871727105 0.03838194693118378 106.3035401913111 0.8487497109982873
ftsZ 0.7391206197526932 82.48568284760273 0.04884363416967092 106.3701067765868 0.8487497109982873
fumC 0.16579317719830877 104.66229848598705 4.225943069267499 106.37440837264994 0.8487497109982873
fusA 0.8117126962602159 105.15853175440526 4.808838947258328 106.32777527627948 0.8650991207712933
gabD 0.49142158086685456 106.01487862739276 7.222255478471429 106.38949780011765 0.8487497109982873
gabT 0.42405980903986096 18.129997541572536 0.3318148373754971 106.36143036973112 0.8487497109982873
gadB 0.010636719461416854 83.58917652327197 1.807258346497032 106.39055027092581 0.8487497109982873
galE 0.6146264838690004 105.9040702025946 3.79645208835126 106.38386488715206 0.8487497109982873
galE1 0.9606155708864645 104.51142284265529 4.019209567353782 106.37632500087568 0.9714513888616436
galK 0.44114135446347974 105.43383271210456 4.368604843784819 106.37654814077271 0.8487497109982873
galT 0.5450176363141646 104.77017641502115 2.412191149534145 106.34644506507838 0.8487497109982873
galU 0.4360159973016725 96.30518381977399 3.0394688374083874 106.37504322624582 0.8487497109982873
gap 0.1075733439953028 102.25959597765961 3.344074282389424 106.36813626106013 0.8487497109982873
garA 0.031239764601021378 69.91896791541934 1.218432360551049 106.37194284184235 0.8487497109982873
garK 0.031239764601021378 93.59754487145581 1.0083787524960313 106.38321794309098 0.8487497109982873
gatA 0.8589847416786351 0.5639559486786454 0.036182061730375525 106.33371020814687 0.9003666094231455
gatB 0.5978804880197537 0.8601081396477519 0.03779221000569015 106.22742236566552 0.8487497109982873
gatC 0.4406449148478107 105.59407302686006 5.31387777273573 106.37295224347675 0.8487497109982873
gcvP 0.22982938716820206 95.0656813234186 2.3712544945616174 106.38616433044896 0.8487497109982873
gdhA 0.6537958902210436 103.35936323014275 0.5223024168055582 106.3274636281262 0.8487497109982873
glbN 0.034421198629548067 105.20033932385766 1.934670749678411 106.36289768500075 0.8487497109982873
glbO 0.031239764601021378 60.150279605717415 1.5376537482275343 106.338214404654 0.8487497109982873
glf 0.6655822182000196 104.61295242980533 2.6954506961587477 106.36282313095262 0.8487497109982873
glgA 0.777445563340416 4.116955197923966 0.036399117445796283 106.31604534443687 0.8487497109982873
glgB 0.6910787706144048 7.454750119009044 0.035921714284765704 106.30242484653309 0.8487497109982873
glgC 0.7661544110219974 7.917837859105884 0.03723521204697214 106.30335040474813 0.8487497109982873
glgE 0.04700895713016062 105.37813623838488 0.03659544564575545 106.3669794413467 0.8487497109982873
glgP 0.6851617988367478 23.3416681314936 0.037466410467315095 106.37933101782393 0.8487497109982873
glgX 0.14090602062342356 104.54601734115411 3.250181961645311 106.37420389980201 0.8487497109982873
glk 0.06591264866848151 105.35878869177917 0.03589371986449811 106.38337784855611 0.8487497109982873
glkA 0.031239764601021378 60.23807800514739 1.290429335013209 106.35209986459742 0.8487497109982873
glmM 0.8778361199556244 105.51153791026444 9.274510511784094 106.36654455703794 0.9171310409487015
glmS 0.3783512460019571 13.055828757244264 0.036638499440728035 106.305649871644 0.8487497109982873
glmU 0.9336004871310865 105.27272053241624 7.469380293538709 106.35984694383899 0.9525302419477651
glnA2 0.0060686003967750386 102.36782084228486 0.03676911780356866 106.38165225413772 0.8487497109982873
glnA4 8.459477426212645e-4 99.28017030691112 1.507761114504558 106.31441402480178 0.6945827860134576
glnE 0.22982938716820206 100.41806207494488 3.358527189603504 106.35088284820932 0.8487497109982873
glnQ 0.9959097140743118 1.9487393875009775 0.03581477085460278 52.06171940287187 0.9984973508132008
glnR 0.2638789328316237 103.962451216326 1.032832508530003 106.35372071264436 0.8487497109982873
gloA 0.5591599330547284 102.80953215036917 2.9925471571263014 106.3633459321903 0.8487497109982873
glpD 0.8506722672196466 10.215174679652694 0.03675651694927948 106.31708016699575 0.8942436875681354
glpD1 0.020845023661811856 102.51225266148838 1.4098481066143127 106.37515179781444 0.8487497109982873
glpQ 0.22891702342609968 103.24868217474882 0.03604448986712007 106.39417560607986 0.8487497109982873
glpQ2 0.031239764601021378 99.69274845271744 0.8833705526206833 106.35420749534231 0.8487497109982873
glpX 0.5727024090902129 96.85618867580405 0.16135164463663132 106.37773158185318 0.8487497109982873
glsA 0.43908194858838245 105.4055945973365 4.809671460635833 106.37578160327499 0.8487497109982873
gltA 0.9342937995283014 103.54998437951909 0.9711218001982967 106.38488680603615 0.9525302419477651
gltB 0.35967097680749627 101.0110701708531 2.255712411219899 106.35602055615863 0.8487497109982873
gltD 0.1915726712480454 105.068393687547 1.97483136577861 106.36683113317801 0.8487497109982873
