community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane121s003995_shovill	lane122s000521_bin.1.s	M_h_e	0.5151515151515151	0.01	1	0.005151515151515152
all	minimal	lane121s003995_shovill	lane122s000521_bin.1.s	M_pi_e	0.5151515151515151	0.95	1	0.4893939393939394
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_acald_e	0.5151515151515151	0.04	1	0.020606060606060607
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_bz_e	0.5151515151515151	0.01	1	0.005151515151515152
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_cgly_e	0.5151515151515151	0.07	1	0.036060606060606064
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_fe3_e	0.5151515151515151	0.09	1	0.046363636363636364
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_for_e	0.5151515151515151	0.06	1	0.030909090909090907
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_h2s_e	0.5151515151515151	0.89	1	0.4584848484848485
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_h_e	0.5151515151515151	0.01	1	0.005151515151515152
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_pi_e	0.5151515151515151	0.95	1	0.4893939393939394
all	minimal	lane121s003995_shovill	lane122s000521_bin.2.p	M_ppap_e	0.5151515151515151	0.01	1	0.005151515151515152
all	minimal	lane121s003995_shovill	lane122s000524_shovill	M_acald_e	1.0	0.04	1	0.04
all	minimal	lane121s003995_shovill	lane122s000524_shovill	M_fe3_e	1.0	0.09	1	0.09
all	minimal	lane121s003995_shovill	lane122s000524_shovill	M_h2s_e	1.0	0.89	1	0.89
all	minimal	lane121s003995_shovill	lane122s000524_shovill	M_h_e	1.0	0.01	1	0.01
all	minimal	lane121s003995_shovill	lane122s000524_shovill	M_pi_e	1.0	0.95	1	0.95
all	minimal	lane121s003995_shovill	lane122s000524_shovill	M_thm_e	1.0	1.0	1	1.0
all	minimal	lane121s003995_shovill	lane122s000529_megahit	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane122s000529_megahit	M_cgly_e	0.06060606060606061	0.07	1	0.004242424242424243
all	minimal	lane121s003995_shovill	lane122s000529_megahit	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000529_megahit	M_for_e	0.06060606060606061	0.06	1	0.0036363636363636364
all	minimal	lane121s003995_shovill	lane122s000529_megahit	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane122s000529_megahit	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000530_shovill	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane122s000530_shovill	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000530_shovill	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane122s000530_shovill	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000530_shovill	M_ppap_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000532_bin.1.p	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane122s000532_bin.1.p	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000532_bin.1.p	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane122s000532_bin.1.p	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000544_bin.1.s	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane122s000544_bin.1.s	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000544_bin.1.s	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane122s000544_bin.1.s	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000544_bin.1.s	M_pi_e	0.06060606060606061	0.95	1	0.05757575757575757
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_acald_e	1.0	0.04	1	0.04
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_arg__L_e	1.0	0.02	1	0.02
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_asp__L_e	1.0	0.12	1	0.12
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_bz_e	1.0	0.01	1	0.01
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_fe3_e	1.0	0.09	1	0.09
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_glyc3p_e	1.0	0.04	1	0.04
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_h2s_e	1.0	0.89	1	0.89
