model	metabolite
lane121s003955_bin.1.s	val__L
lane121s003955_bin.1.s	xtsn
lane121s003955_bin.1.s	xyl3
lane121s003955_bin.1.s	xyl__D
lane121s003955_bin.1.s	xylan4
lane121s003955_bin.1.s	xylan8
lane121s003955_bin.1.s	xylb
lane121s003955_bin.1.s	zn2
lane121s003958_shovill	14glucan
lane121s003958_shovill	23ccmp
lane121s003958_shovill	2hxmp
lane121s003958_shovill	2mba
lane121s003958_shovill	3amp
lane121s003958_shovill	3cmp
lane121s003958_shovill	3oxoadp
lane121s003958_shovill	3ump
lane121s003958_shovill	4hba
lane121s003958_shovill	Larab
lane121s003958_shovill	abt__L
lane121s003958_shovill	acgam
lane121s003958_shovill	acmana
lane121s003958_shovill	ala_L_asp__L
lane121s003958_shovill	arab__L
lane121s003958_shovill	arbt
lane121s003958_shovill	arg__L
lane121s003958_shovill	asn__L
lane121s003958_shovill	bz
lane121s003958_shovill	ca2
lane121s003958_shovill	cellb
lane121s003958_shovill	cit
lane121s003958_shovill	cl
lane121s003958_shovill	cobalt2
lane121s003958_shovill	cu2
lane121s003958_shovill	dextrin
lane121s003958_shovill	drib
lane121s003958_shovill	fe2
lane121s003958_shovill	fol
lane121s003958_shovill	fru
lane121s003958_shovill	frulys
lane121s003958_shovill	gal
lane121s003958_shovill	galman4
lane121s003958_shovill	galman6
lane121s003958_shovill	galt
lane121s003958_shovill	galur
lane121s003958_shovill	gam
lane121s003958_shovill	glc__D
lane121s003958_shovill	glcman4
lane121s003958_shovill	glcman6
lane121s003958_shovill	glcn__D
lane121s003958_shovill	glcn
lane121s003958_shovill	glcur
lane121s003958_shovill	gln__L
lane121s003958_shovill	glucan4
lane121s003958_shovill	glucan6
lane121s003958_shovill	gly_asn__L
lane121s003958_shovill	gly_asp__L
lane121s003958_shovill	gly_glu__L
lane121s003958_shovill	glyc2p
lane121s003958_shovill	glyc3p
lane121s003958_shovill	glyc
lane121s003958_shovill	glyclt
lane121s003958_shovill	gsn
lane121s003958_shovill	gthox
lane121s003958_shovill	gthrd
lane121s003958_shovill	gua
lane121s003958_shovill	h2o2
lane121s003958_shovill	h2o
lane121s003958_shovill	h2s
lane121s003958_shovill	h
lane121s003958_shovill	ham
lane121s003958_shovill	his__L
lane121s003958_shovill	ile__L
lane121s003958_shovill	k
lane121s003958_shovill	lcts
lane121s003958_shovill	lmn2
lane121s003958_shovill	lys__L
lane121s003958_shovill	madg
lane121s003958_shovill	mal__L
lane121s003958_shovill	malt
lane121s003958_shovill	malthx
lane121s003958_shovill	malttr
lane121s003958_shovill	maltttr
lane121s003958_shovill	man
lane121s003958_shovill	manb
lane121s003958_shovill	manttr
lane121s003958_shovill	mbdg
lane121s003958_shovill	melib
lane121s003958_shovill	mg2
lane121s003958_shovill	mn2
lane121s003958_shovill	mnl
lane121s003958_shovill	nh4
lane121s003958_shovill	no2
lane121s003958_shovill	no3
lane121s003958_shovill	no
lane121s003958_shovill	o2
lane121s003958_shovill	orn
lane121s003958_shovill	phe__L
lane121s003958_shovill	raffin
lane121s003958_shovill	rbt
lane121s003958_shovill	rib__D
lane121s003958_shovill	s
lane121s003958_shovill	salcn
lane121s003958_shovill	sbt__D
lane121s003958_shovill	so3
lane121s003958_shovill	so4
lane121s003958_shovill	sucr
lane121s003958_shovill	thm
lane121s003958_shovill	thr__L
lane121s003958_shovill	tre
lane121s003958_shovill	trp__L
lane121s003958_shovill	tyr__L
lane121s003958_shovill	udcpp
lane121s003958_shovill	xyl3
lane121s003958_shovill	xyl__D
lane121s003958_shovill	xylan4
lane121s003958_shovill	xylan8
lane121s003958_shovill	xylb
lane121s003958_shovill	zn2
lane121s003960_shovill	25dkglcn
lane121s003960_shovill	3amp
lane121s003960_shovill	acald
lane121s003960_shovill	acgam
lane121s003960_shovill	akg
lane121s003960_shovill	arg__L
lane121s003960_shovill	ca2
lane121s003960_shovill	cellb
lane121s003960_shovill	cl
lane121s003960_shovill	cobalt2
lane121s003960_shovill	cu2
lane121s003960_shovill	cytd
lane121s003960_shovill	drib
lane121s003960_shovill	etha
lane121s003960_shovill	fe2
lane121s003960_shovill	fol
lane121s003960_shovill	fru
lane121s003960_shovill	galt
lane121s003960_shovill	gam
lane121s003960_shovill	gcald
lane121s003960_shovill	glcur
lane121s003960_shovill	glu__L
lane121s003960_shovill	gly_asn__L
lane121s003960_shovill	gly
lane121s003960_shovill	glyc3p
lane121s003960_shovill	glyc
lane121s003960_shovill	glyclt
lane121s003960_shovill	gthrd
lane121s003960_shovill	gua
lane121s003960_shovill	h2o2
lane121s003960_shovill	h2o
lane121s003960_shovill	h
lane121s003960_shovill	his__L
lane121s003960_shovill	ile__L
lane121s003960_shovill	k
lane121s003960_shovill	lcts
lane121s003960_shovill	lys__L
lane121s003960_shovill	mal__L
lane121s003960_shovill	malt
lane121s003960_shovill	malthx
lane121s003960_shovill	man
lane121s003960_shovill	melib
lane121s003960_shovill	mg2
lane121s003960_shovill	mn2
lane121s003960_shovill	mnl
lane121s003960_shovill	no2
lane121s003960_shovill	no3
lane121s003960_shovill	no
lane121s003960_shovill	o2
lane121s003960_shovill	oaa
lane121s003960_shovill	phe__L
lane121s003960_shovill	pnto__R
lane121s003960_shovill	pro__L
lane121s003960_shovill	pydam
lane121s003960_shovill	rib__D
lane121s003960_shovill	ribflv
lane121s003960_shovill	s
lane121s003960_shovill	sbt__D
lane121s003960_shovill	skm
lane121s003960_shovill	so4
lane121s003960_shovill	sucr
lane121s003960_shovill	tartr__L
lane121s003960_shovill	thm
lane121s003960_shovill	thr__L
lane121s003960_shovill	thymd
lane121s003960_shovill	trp__L
lane121s003960_shovill	tyr__L
lane121s003960_shovill	uri
lane121s003960_shovill	zn2
lane121s003962_megahit	5dglcn
lane121s003962_megahit	ade
lane121s003962_megahit	alltn
lane121s003962_megahit	arg__L
lane121s003962_megahit	ca2
lane121s003962_megahit	cellb
lane121s003962_megahit	cgly
lane121s003962_megahit	cl
lane121s003962_megahit	cobalt2
lane121s003962_megahit	cu2
lane121s003962_megahit	drib
lane121s003962_megahit	dxyl
lane121s003962_megahit	for
lane121s003962_megahit	fru
lane121s003962_megahit	g3pc
lane121s003962_megahit	gal_bD
lane121s003962_megahit	gal
lane121s003962_megahit	galctn__D
lane121s003962_megahit	galman4
lane121s003962_megahit	galman6
lane121s003962_megahit	galt
lane121s003962_megahit	galur
lane121s003962_megahit	gam
lane121s003962_megahit	glc__D
lane121s003962_megahit	glcman4
lane121s003962_megahit	glcman6
lane121s003962_megahit	glcur
lane121s003962_megahit	gln__L
lane121s003962_megahit	glu__L
lane121s003962_megahit	gly_asn__L
lane121s003962_megahit	glyc3p
lane121s003962_megahit	glyc
lane121s003962_megahit	gua
lane121s003962_megahit	h2o
lane121s003962_megahit	h
lane121s003962_megahit	indole
lane121s003962_megahit	k
lane121s003962_megahit	lys__L
lane121s003962_megahit	malt
lane121s003962_megahit	malthp
lane121s003962_megahit	malthx
lane121s003962_megahit	malttr
lane121s003962_megahit	maltttr
lane121s003962_megahit	man
lane121s003962_megahit	melib
lane121s003962_megahit	mg2
lane121s003962_megahit	mn2
lane121s003962_megahit	mnl
lane121s003962_megahit	nh4
lane121s003962_megahit	nmn
lane121s003962_megahit	no3
lane121s003962_megahit	o2
lane121s003962_megahit	orn
lane121s003962_megahit	pydxn
lane121s003962_megahit	raffin
lane121s003962_megahit	rib__D
lane121s003962_megahit	salchs4fe
lane121s003962_megahit	sbt__D
lane121s003962_megahit	skm
lane121s003962_megahit	so4
