model	metabolite
lane122s000516_shovill	nh4
lane122s000516_shovill	o2
lane122s000516_shovill	s
lane122s000516_shovill	so3
lane122s000516_shovill	tsul
lane122s000516_shovill	zn2
lane122s000517_bin.1.p	Larab
lane122s000517_bin.1.p	arbt
lane122s000517_bin.1.p	ca2
lane122s000517_bin.1.p	cell6
lane122s000517_bin.1.p	cellb
lane122s000517_bin.1.p	cl
lane122s000517_bin.1.p	cobalt2
lane122s000517_bin.1.p	fe2
lane122s000517_bin.1.p	fru
lane122s000517_bin.1.p	gam
lane122s000517_bin.1.p	glc__D
lane122s000517_bin.1.p	k
lane122s000517_bin.1.p	lcts
lane122s000517_bin.1.p	malt
lane122s000517_bin.1.p	man
lane122s000517_bin.1.p	mg2
lane122s000517_bin.1.p	mn2
lane122s000517_bin.1.p	mnl
lane122s000517_bin.1.p	o2
lane122s000517_bin.1.p	raffin
lane122s000517_bin.1.p	salcn
lane122s000517_bin.1.p	sucr
lane122s000517_bin.1.p	tre
lane122s000517_bin.1.p	zn2
lane122s000517_bin.2.s	arg__L
lane122s000517_bin.2.s	ca2
lane122s000517_bin.2.s	cellb
lane122s000517_bin.2.s	cl
lane122s000517_bin.2.s	cobalt2
lane122s000517_bin.2.s	cu2
lane122s000517_bin.2.s	galman4
lane122s000517_bin.2.s	galman6
lane122s000517_bin.2.s	glcman4
lane122s000517_bin.2.s	glcman6
lane122s000517_bin.2.s	k
lane122s000517_bin.2.s	malt
lane122s000517_bin.2.s	malthx
lane122s000517_bin.2.s	malttr
lane122s000517_bin.2.s	maltttr
lane122s000517_bin.2.s	mg2
lane122s000517_bin.2.s	mn2
lane122s000517_bin.2.s	no3
lane122s000517_bin.2.s	o2
lane122s000517_bin.2.s	sucr
lane122s000517_bin.2.s	thr__L
lane122s000517_bin.2.s	tre
lane122s000517_bin.2.s	zn2
lane122s000518_bin.1.p	25dkglcn
lane122s000518_bin.1.p	5dglcn
lane122s000518_bin.1.p	ca2
lane122s000518_bin.1.p	cl
lane122s000518_bin.1.p	cobalt2
lane122s000518_bin.1.p	glcman4
lane122s000518_bin.1.p	glcman6
lane122s000518_bin.1.p	gln__L
lane122s000518_bin.1.p	glucan4
lane122s000518_bin.1.p	glucan6
