model	metabolite
lane122s000529_megahit	cl
lane122s000529_megahit	cobalt2
lane122s000529_megahit	cu2
lane122s000529_megahit	k
lane122s000529_megahit	mg2
lane122s000529_megahit	mn2
lane122s000529_megahit	zn2
lane122s000530_shovill	ca2
lane122s000530_shovill	cl
lane122s000530_shovill	cobalt2
lane122s000530_shovill	k
lane122s000530_shovill	mg2
lane122s000530_shovill	mn2
lane122s000530_shovill	o2
lane122s000530_shovill	pi
lane122s000530_shovill	thr__L
lane122s000530_shovill	val__L
lane122s000530_shovill	zn2
lane122s000531_bin.1.o	ca2
lane122s000531_bin.1.o	cl
lane122s000531_bin.1.o	cobalt2
lane122s000531_bin.1.o	k
lane122s000531_bin.1.o	mg2
lane122s000531_bin.1.o	mn2
lane122s000531_bin.1.o	thm
lane122s000531_bin.1.o	zn2
lane122s000532_bin.1.p	ca2
lane122s000532_bin.1.p	cl
lane122s000532_bin.1.p	cobalt2
lane122s000532_bin.1.p	fe2
lane122s000532_bin.1.p	k
lane122s000532_bin.1.p	mg2
lane122s000532_bin.1.p	mn2
lane122s000532_bin.1.p	zn2
lane122s000533_bin.10.p	ca2
lane122s000533_bin.10.p	cl
lane122s000533_bin.10.p	cobalt2
lane122s000533_bin.10.p	k
lane122s000533_bin.10.p	mg2
lane122s000533_bin.10.p	mn2
lane122s000533_bin.10.p	ribflv
lane122s000533_bin.10.p	thm
lane122s000533_bin.10.p	ura
lane122s000533_bin.10.p	zn2
lane122s000534_megahit	asn__L
lane122s000534_megahit	ca2
lane122s000534_megahit	cl
lane122s000534_megahit	cobalt2
lane122s000534_megahit	gln__L
lane122s000534_megahit	ile__L
lane122s000534_megahit	k
lane122s000534_megahit	leu__L
lane122s000534_megahit	mg2
lane122s000534_megahit	mn2
lane122s000534_megahit	phe__L
lane122s000534_megahit	ribflv
lane122s000534_megahit	so4
lane122s000534_megahit	thm
lane122s000534_megahit	zn2
lane122s000535_bin.1.p	ca2
lane122s000535_bin.1.p	cl
lane122s000535_bin.1.p	cobalt2
lane122s000535_bin.1.p	fe2
lane122s000535_bin.1.p	his__L
lane122s000535_bin.1.p	k
lane122s000535_bin.1.p	mg2
lane122s000535_bin.1.p	mn2
lane122s000535_bin.1.p	ribflv
lane122s000535_bin.1.p	thm
lane122s000535_bin.1.p	zn2
lane122s000536_megahit	ca2
lane122s000536_megahit	cl
lane122s000536_megahit	cobalt2
lane122s000536_megahit	k
lane122s000536_megahit	mg2
lane122s000536_megahit	mn2
lane122s000536_megahit	zn2
lane122s000537_shovill	ca2
lane122s000537_shovill	cl
lane122s000537_shovill	cobalt2
lane122s000537_shovill	cu2
lane122s000537_shovill	fe2
lane122s000537_shovill	k
lane122s000537_shovill	mg2
lane122s000537_shovill	mn2
lane122s000537_shovill	zn2
lane122s000538_bin.1.p	ca2
lane122s000538_bin.1.p	cl
lane122s000538_bin.1.p	cobalt2
lane122s000538_bin.1.p	fe2
lane122s000538_bin.1.p	k
